
Schematic Net Listing
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
Part                             Reference                        Sym Sub    Pin Eqv Sub   Pin     Pin Phantom    Net         Net
Number                           Designator                       Num Typ    Id  Cls Pak   Text    Num Flag       Name        Num
FYLS-0603UBC                     D003                              97   1      2   2   1 1           1 0 XSIG011156          (729-39-13)
ISO7221ADR                       U001                              47   1      1   1   1 4           4 0 ISOGND              (729-33-13)
ISO7221ADR                       U001                              47   1      2   2   1 5           5 0 GND                 (729-26-13)
ISO7221ADR                       U001                              47   1      3   3   1 7           7 0 XSIG011137          (729-37-13)
ISO7221ADR                       U001                              47   1      4   4   1 3           3 0 XSIG011123          (729-35-13)
ISO7221ADR                       U001                              47   1      5   5   1 2           2 0 XSIG011122          (729-34-13)
ISO7221ADR                       U001                              47   1      6   6   1 6           6 0 XSIG011143          (729-38-13)
ISO7221ADR                       U001                              47   1      7   7   1 1           1 0 +5VISO              (729-36-13)
ISO7221ADR                       U001                              47   1      8   8   1 8           8 0 +3.3V               (729-31-13)
KX-3H 8.0 MHz                    Y000                              30   1      1   1   1 1           1 0 XSIG010919          (729-24-13)
KX-3H 8.0 MHz                    Y000                              30   1      2   2   1 2           2 0 XSIG010920          (729-25-13)
LM75AD                           U003                              46   1      1   1   1 7           7 0 GND                 (729-26-13)
LM75AD                           U003                              46   1      2   2   1 6           6 0 GND                 (729-26-13)
LM75AD                           U003                              46   1      3   3   1 5           5 0 GND                 (729-26-13)
LM75AD                           U003                              46   1      4   4   1 4           4 0 GND                 (729-26-13)
LM75AD                           U003                              46   1      5   5   1 3           3 0 GND                 (729-26-13)
LM75AD                           U003                              46   1      6   6   1 2           2 0 XSIG011098          (729-32-13)
LM75AD                           U003                              46   1      7   7   1 1           1 0 XSIG011160          (729-40-13)
LM75AD                           U003                              46   1      8   8   1 8           8 0 +3.3V               (729-31-13)
LM5008MM                         U100                             120   1      1   1   1 2           2 0 XSIG010933          (729-105-13)
LM5008MM                         U100                             120   1      2   2   1 5           5 0 XSIG010920_2        (729-103-13)
LM5008MM                         U100                             120   1      3   3   1 3           3 0 XSIG010913          (729-101-13)
LM5008MM                         U100                             120   1      4   4   1 6           6 0 XSIG010912          (729-100-13)
LM5008MM                         U100                             120   1      5   5   1 4           4 0 GND                 (729-26-13)
LM5008MM                         U100                             120   1      6   6   1 1           1 0 XSIG010932          (729-104-13)
LM5008MM                         U100                             120   1      7   7   1 7           7 0 XSIG010916          (729-102-13)
LM5008MM                         U100                             120   1      8   8   1 8           8 0 XSIG011075          (871-1-13)
LP2950CDT-3.3RKG                 U101                             129   1      1   1   1 1           1 0 +5V                 (729-95-13)
LP2950CDT-3.3RKG                 U101                             129   1      2   2   1 3           2 0 +3.3V               (729-31-13)
LP2950CDT-3.3RKG                 U101                             129   2      1   1   2 4           3 0 GND                 (729-26-13)
Schematic Net Listing
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
Part                             Reference                        Sym Sub    Pin Eqv Sub   Pin     Pin Phantom    Net         Net
Number                           Designator                       Num Typ    Id  Cls Pak   Text    Num Flag       Name        Num
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
MAX13487EESA+                    U000                              55   1      1   1   1 6           6 0 XSIG011374          (988-2-13)
MAX13487EESA+                    U000                              55   1      2   2   1 7           7 0 XSIG011379_1        (993-1-13)
MAX13487EESA+                    U000                              55   1      3   3   1 4           4 0 XSIG011122          (729-34-13)
MAX13487EESA+                    U000                              55   1      4   4   1 5           5 0 ISOGND              (729-33-13)
MAX13487EESA+                    U000                              55   1      5   5   1 2           2 0 +5VISO              (729-36-13)
MAX13487EESA+                    U000                              55   1      6   6   1 3           3 0 +5VISO              (729-36-13)
MAX13487EESA+                    U000                              55   1      7   7   1 1           1 0 XSIG011123          (729-35-13)
MAX13487EESA+                    U000                              55   1      8   8   1 8           8 0 +5VISO              (729-36-13)
MQ-4                             GS200                            174   1      1   1   1 1           1 0 XSIG011535          (820-9-13)
MQ-4                             GS200                            174   1      2   2   1 3           3 0 XSIG011535          (820-9-13)
MQ-4                             GS200                            174   1      3   3   1 4           4 0 XSIG011459          (729-93-13)
MQ-4                             GS200                            174   1      4   4   1 6           6 0 XSIG011459          (729-93-13)
MQ-4                             GS200                            174   1      5   5   1 2           2 0 XSIG011535          (820-9-13)
MQ-4                             GS200                            174   1      6   6   1 5           5 0 GND                 (729-26-13)
NRP02-C12DH-S                    K300                             141   1      1   1   1 3           3 0 XSIG011372          (729-81-13)
NRP02-C12DH-S                    K300                             141   1      2   2   1 4           4 0 XSIG011372          (729-81-13)
NRP02-C12DH-S                    K300                             141   1      3   3   1 2           2 0 XSIG011438          (729-92-13)
NRP02-C12DH-S                    K300                             141   1      4   4   1 5           5 0 XSIG011379          (729-86-13)
NRP02-C12DH-S                    K300                             141   1      5   5   1 1           1 0 XSIG011373          (729-82-13)
NRP02-C12DH-S                    K300                             141   1      6   6   1 6           6 0 XSIG011371          (729-80-13)
NRP02-C12DH-S                    K301                             140   1      1   1   1 3           3 0 XSIG011377          (729-84-13)
NRP02-C12DH-S                    K301                             140   1      2   2   1 4           4 0 XSIG011377          (729-84-13)
NRP02-C12DH-S                    K301                             140   1      3   3   1 2           2 0 XSIG011380          (729-87-13)
NRP02-C12DH-S                    K301                             140   1      4   4   1 5           5 0 XSIG011438          (729-92-13)
NRP02-C12DH-S                    K301                             140   1      5   5   1 1           1 0 XSIG011378          (729-85-13)
NRP02-C12DH-S                    K301                             140   1      6   6   1 6           6 0 XSIG011376          (729-83-13)
PLS-5                            XM002                              3   1      1   1   1 1           1 0 +3.3V               (729-31-13)
PLS-5                            XM002                              3   1      2   2   1 2           2 0 SWDCLK              (901-1-13)
PLS-5                            XM002                              3   1      3   3   1 3           3 0 GND                 (729-26-13)
PLS-5                            XM002                              3   1      4   4   1 4           4 0 SWDIO.              (1236-1-13)
PLS-5                            XM002                              3   1      5   5   1 5           5 0 NRST                (729-6-13)
RC0805FR-071KL                   R002                             113   1      1   1   1 1           1 0 Tx                  (820-5-13)
RC0805FR-071KL                   R002                             113   1      2   2   1 2           2 0 XSIG011137          (729-37-13)
RC0805FR-071KL                   R003                             114   1      1   1   1 1           1 0 Rx                  (820-6-13)
RC0805FR-071KL                   R003                             114   1      2   2   1 2           2 0 XSIG011410          (1136-6-13)
RC0805FR-071KL                   R005                             115   1      1   1   1 1           1 0 BOOT                (820-3-13)
